"ano_mes_calendario";"codigo_projeto";"custo_trabalho_realizado";"despesas";"custo_total_realizado";"valor_custo";"valor_receita"
202301;120;35984.955;6315;42299.955;;
202301;121;34144.180;5552;39696.180;52133;66117
202301;122;36824.080;6067;42891.080;;
202301;123;27427.180;5760;33187.180;61468;72187
202301;124;28675.350;5056;33731.350;;
202301;125;36527.585;6647;43174.585;;
202301;126;27104.735;5135;32239.735;;
202301;127;37801.960;6080;43881.960;;
202301;128;26636.650;5137;31773.650;;
202301;129;37821.970;6194;44015.970;;
202301;130;29165.515;5374;34539.515;;
202301;131;35945.480;5739;41684.480;;
202301;132;35598.345;5426;41024.345;65908;82367
202301;133;30283.115;5717;36000.115;;
202301;134;27234.160;5704;32938.160;;
202301;135;26194.700;5611;31805.700;;
202301;136;37435.180;5512;42947.180;;
202301;137;32931.765;6614;39545.765;;
202301;138;30352.655;4842;35194.655;;
202301;139;35133.775;6106;41239.775;;
202301;140;32288.685;6425;38713.685;;
202301;141;39072.010;5452;44524.010;;
202301;142;41448.880;6346;47794.880;;
202301;143;18904.170;3562;22466.170;;
202301;144;28972.670;5886;34858.670;;
202301;145;42127.300;6893;49020.300;;
202301;146;31735.470;5655;37390.470;;
202301;147;37059.310;5926;42985.310;;
202301;148;32653.360;6134;38787.360;;
202301;149;36817.595;5099;41916.595;;
202301;150;32600.265;5564;38164.265;;
202301;151;28601.420;5070;33671.420;;
202301;152;24196.360;4834;29030.360;;
202301;153;26897.035;5992;32889.035;;
202301;154;27142.380;6342;33484.380;;
202301;155;31084.210;5551;36635.210;57098;75463
202301;156;33071.040;7156;40227.040;;
202301;157;30442.200;5876;36318.200;;
202301;158;29237.450;5681;34918.450;;
202301;159;30811.555;4399;35210.555;;
202301;160;30623.480;6220;36843.480;;
202301;161;31582.995;5564;37146.995;;
202301;162;34688.410;4952;39640.410;;
202301;163;38347.200;6862;45209.200;;
202301;164;29913.155;5174;35087.155;;
202301;165;33504.625;6006;39510.625;;
202301;166;31052.200;5372;36424.200;;
202301;167;33220.135;5262;38482.135;;
202301;168;29331.420;5121;34452.420;;
202301;169;33906.975;5967;39873.975;;
202301;170;31907.735;5400;37307.735;;
202301;171;34395.805;6280;40675.805;;
202301;172;35260.810;6247;41507.810;;
202301;173;34467.655;5489;39956.655;;
202301;174;31345.490;5616;36961.490;;
202301;175;28356.990;4947;33303.990;;
202301;176;32785.340;5362;38147.340;;
202301;177;31493.480;5095;36588.480;;
202301;178;29647.455;6383;36030.455;;
202301;179;27640.735;5614;33254.735;;
202301;180;34214.860;6582;40796.860;;
202301;181;34351.265;5619;39970.265;;
202301;182;25742.685;5467;31209.685;;
202301;183;32846.135;5883;38729.135;;
202301;184;21882.140;3701;25583.140;;
202301;185;27385.120;6153;33538.120;;
202301;186;28889.515;4524;33413.515;;
202301;187;32101.515;6199;38300.515;66043;84969
202301;188;32204.975;5653;37857.975;;
202301;189;32101.735;5833;37934.735;55014;61545
202301;190;27720.580;5400;33120.580;;
202301;191;30363.865;6223;36586.865;;
202301;192;28285.080;4799;33084.080;;
202301;193;28983.110;5041;34024.110;;
202301;194;21859.535;3984;25843.535;;
202301;195;33497.130;5760;39257.130;;
202301;196;33829.620;5546;39375.620;;
202301;197;33490.580;5493;38983.580;;
202301;198;23017.885;4639;27656.885;;
202301;199;32915.425;6470;39385.425;58060;63166
202301;200;31042.160;6461;37503.160;;
202301;201;43076.120;6452;49528.120;;
202301;202;25643.525;5936;31579.525;;
202301;203;28738.005;4405;33143.005;;
202301;204;24818.925;4561;29379.925;;
202301;205;23202.280;5152;28354.280;;
202301;206;24104.825;4727;28831.825;;
202301;207;37140.710;5865;43005.710;;
202301;208;48576.430;7160;55736.430;;
202301;209;34081.315;6280;40361.315;;
202301;210;38438.590;5165;43603.590;;
202301;211;32178.375;5378;37556.375;;
202301;212;25184.250;4512;29696.250;;
202301;213;27340.555;5866;33206.555;;
202301;214;46551.715;7929;54480.715;;
202301;215;29555.460;6786;36341.460;;
202301;216;31051.365;5618;36669.365;;
202301;217;39270.255;5739;45009.255;;
202301;218;24853.270;5247;30100.270;;
202301;219;36511.670;6024;42535.670;;
202301;220;36226.165;5462;41688.165;;
202301;221;35160.930;7123;42283.930;;
202301;222;38980.800;7206;46186.800;;
202301;223;27152.705;4523;31675.705;;
202301;224;39622.075;6899;46521.075;;
202301;225;34879.345;5821;40700.345;;
202301;226;33420.370;5508;38928.370;;
202301;227;32108.255;5965;38073.255;;
202301;228;26433.085;5443;31876.085;;
202301;229;32931.445;5324;38255.445;;
202301;230;27859.725;5147;33006.725;;
202301;231;42628.760;7561;50189.760;;
202301;232;28200.975;5146;33346.975;;
202301;233;31583.700;5072;36655.700;;
202301;234;24816.345;4487;29303.345;;
202301;235;33631.955;5437;39068.955;;
202301;236;28441.315;5885;34326.315;;
202301;237;32953.850;5119;38072.850;;
202301;238;35725.505;6855;42580.505;;
202301;239;31077.270;5977;37054.270;;
202301;240;33448.885;6009;39457.885;;
202301;241;36019.880;7055;43074.880;;
202301;242;40363.300;6573;46936.300;;
202301;243;34502.345;5355;39857.345;;
202301;244;34932.800;5944;40876.800;;
202301;245;38629.875;6784;45413.875;;
202301;246;27910.165;5320;33230.165;55392;67557
202301;247;24258.460;5364;29622.460;;
202301;248;27148.020;4740;31888.020;;
202301;249;24892.700;5609;30501.700;;
202301;250;32288.760;6698;38986.760;;
202302;1;34858.160;6939;41797.160;;
202302;2;38183.350;6571;44754.350;;
202302;3;39008.365;6551;45559.365;;
202302;4;30464.020;5656;36120.020;;
202302;5;22682.800;4571;27253.800;74855;90259
202302;6;38228.630;6275;44503.630;;
202302;7;32530.790;5717;38247.790;;
202302;8;36268.950;6626;42894.950;;
202302;9;35261.880;6168;41429.880;;
202302;10;27891.780;4926;32817.780;;
202302;11;34001.215;6055;40056.215;;
202302;12;27974.695;4938;32912.695;56959;61228
202302;13;32414.465;5464;37878.465;;
202302;14;32491.745;6293;38784.745;;
202302;15;34947.475;5936;40883.475;;
202302;16;29361.660;5076;34437.660;66033;69209
202302;17;31651.690;5933;37584.690;;
202302;18;30388.760;5620;36008.760;;
202302;19;36531.295;6588;43119.295;;
202302;20;30483.080;6077;36560.080;;
202302;21;30170.255;5940;36110.255;;
202302;22;32526.795;6266;38792.795;;
202302;23;29351.255;5869;35220.255;;
202302;24;43202.875;6987;50189.875;;
202302;25;27665.310;6018;33683.310;;
202302;26;40828.735;5530;46358.735;;
202302;27;19706.995;3692;23398.995;;
202302;28;30066.615;5611;35677.615;;
202302;29;36098.905;6209;42307.905;;
202302;30;35696.795;5292;40988.795;;
202302;31;28844.995;4772;33616.995;;
202302;32;35366.735;6114;41480.735;;
202302;33;30216.180;5145;35361.180;;
202302;34;39581.735;6079;45660.735;;
202302;35;33137.515;6090;39227.515;68839;85594
202302;36;26292.660;5033;31325.660;;
202302;37;30854.485;5225;36079.485;56262;64658
202302;38;25024.800;4529;29553.800;;
202302;39;31126.825;4628;35754.825;;
202302;40;31738.985;5795;37533.985;;
202302;41;36253.780;7014;43267.780;;
202302;42;32456.830;6758;39214.830;;
202302;43;33804.430;5767;39571.430;;
202302;44;32780.595;6137;38917.595;;
202302;45;34414.410;6211;40625.410;;
202302;46;36308.625;6318;42626.625;;
202302;47;37510.195;6044;43554.195;;
202302;48;28829.545;6071;34900.545;;
202302;49;29311.265;5711;35022.265;;
202302;50;26233.795;4103;30336.795;;
202302;51;26146.935;4522;30668.935;;
202302;52;30929.410;6863;37792.410;58357;62541
202302;53;25553.045;5443;30996.045;;
202302;54;25769.690;4798;30567.690;;
202302;55;28933.465;4546;33479.465;;
202302;56;38733.425;6570;45303.425;;
202302;57;33328.195;5577;38905.195;;
202302;58;27541.715;4988;32529.715;;
202302;59;32243.245;6139;38382.245;;
202302;60;25783.600;5092;30875.600;;
202302;61;30699.300;5535;36234.300;;
202302;62;32070.535;5982;38052.535;;
202302;63;30211.205;5719;35930.205;;
202302;64;29320.830;5047;34367.830;;
202302;65;32401.335;6629;39030.335;54928;57018
202302;66;30183.690;4843;35026.690;;
202302;67;27272.320;4842;32114.320;;
202302;68;25245.005;4771;30016.005;;
202302;69;27220.985;5152;32372.985;;
202302;70;31756.800;4999;36755.800;;
202302;71;30133.830;4851;34984.830;;
202302;72;39581.980;5986;45567.980;;
202302;73;32401.700;5882;38283.700;;
202302;74;36458.970;5405;41863.970;;
202302;75;31148.975;5089;36237.975;;
202302;76;25792.530;6771;32563.530;;
202302;77;26896.780;5502;32398.780;;
202302;78;34372.760;5714;40086.760;;
202302;79;40916.355;7417;48333.355;;
202302;80;30228.535;5181;35409.535;;
202302;81;34462.750;6423;40885.750;;
202302;82;35560.805;5127;40687.805;;
202302;83;31808.745;5077;36885.745;;
202302;84;33083.990;6081;39164.990;59609;62624
202302;85;31358.490;6075;37433.490;;
202302;86;27312.895;5983;33295.895;;
202302;87;38965.320;7470;46435.320;;
202302;88;27989.785;5558;33547.785;;
202302;89;37916.370;6491;44407.370;;
202302;90;37426.560;6708;44134.560;;
202302;91;25301.925;4741;30042.925;;
202302;92;49221.595;8201;57422.595;;
202302;93;28634.510;5577;34211.510;;
202302;94;32822.885;6118;38940.885;;
202302;95;38672.815;5576;44248.815;;
202302;96;34454.610;6491;40945.610;75298;82993
202302;97;29791.440;5537;35328.440;;
202302;98;30368.245;5784;36152.245;;
202302;99;29523.145;5548;35071.145;;
202302;100;37728.785;6399;44127.785;;
202302;101;33648.295;7513;41161.295;;
202302;102;31193.045;5205;36398.045;;
202302;103;29724.380;6378;36102.380;;
202302;104;30756.130;4705;35461.130;;
202302;105;35082.505;5411;40493.505;;
202302;106;38366.470;6504;44870.470;;
202302;107;32259.805;6807;39066.805;;
202302;108;30460.365;4468;34928.365;;
202302;109;33885.710;5599;39484.710;;
202302;110;36804.615;6595;43399.615;;
202302;111;28784.255;5303;34087.255;53106;63125
202302;112;25464.600;4908;30372.600;;
202302;113;39469.525;6098;45567.525;;
202302;114;33034.835;4822;37856.835;;
202302;115;27501.665;4902;32403.665;;
202302;116;36427.745;5868;42295.745;;
202302;117;32656.965;6250;38906.965;;
202302;118;38367.010;6316;44683.010;;
202302;119;33478.845;6136;39614.845;;
202302;120;37065.000;5270;42335.000;;
202302;121;33178.955;5780;38958.955;52133;66117
202302;122;26976.225;4906;31882.225;;
202302;123;36382.510;6198;42580.510;61468;72187
202302;124;34406.950;5887;40293.950;;
202302;125;32189.360;5183;37372.360;;
202302;126;30175.095;6349;36524.095;;
202302;127;27065.190;5677;32742.190;;
202302;128;26753.355;5357;32110.355;;
202302;129;40696.955;6824;47520.955;;
202302;130;25424.340;4777;30201.340;;
202302;131;31378.260;6614;37992.260;;
202302;132;30845.830;5306;36151.830;65908;82367
202302;133;28054.450;5161;33215.450;;
202302;134;30441.175;4544;34985.175;;
202302;135;37996.790;7038;45034.790;;
202302;136;34995.705;6405;41400.705;;
202302;137;30588.845;5060;35648.845;;
202302;138;28173.080;4357;32530.080;;
202302;139;38068.345;6622;44690.345;;
202302;140;30638.855;6626;37264.855;;
202302;141;34784.250;6411;41195.250;;
202302;142;26905.850;4315;31220.850;;
202302;143;31950.335;4978;36928.335;;
202302;144;27062.515;4299;31361.515;;
202302;145;28726.490;5029;33755.490;;
202302;146;35716.965;6544;42260.965;;
202302;147;34058.685;5431;39489.685;;
202302;148;28465.140;6071;34536.140;;
202302;149;34226.730;6174;40400.730;;
202302;150;35494.690;5854;41348.690;;
202302;151;34376.670;6711;41087.670;62207;83786
202302;152;29583.665;5634;35217.665;;
202302;153;38779.035;6030;44809.035;;
202302;154;28097.045;4652;32749.045;;
202302;155;32420.595;6174;38594.595;57098;75463
202302;156;37408.200;6360;43768.200;;
202302;157;25484.365;5685;31169.365;;
202302;158;26273.900;5456;31729.900;;
202302;159;32551.460;6316;38867.460;;
202302;160;31077.240;5182;36259.240;;
202302;161;36654.950;5319;41973.950;;
202302;162;33485.330;6178;39663.330;;
202302;163;25565.230;5836;31401.230;;
202302;164;33629.705;5592;39221.705;;
202302;165;33726.125;6168;39894.125;;
202302;166;23922.925;4762;28684.925;;
202302;167;31506.405;5020;36526.405;;
202302;168;35883.770;6355;42238.770;;
202302;169;29359.070;3941;33300.070;;
202302;170;24353.100;4992;29345.100;;
202302;171;32916.600;5591;38507.600;;
202302;172;38416.350;5663;44079.350;;
202302;173;34680.660;5855;40535.660;;
202302;174;27501.790;4189;31690.790;;
202302;175;29311.245;5325;34636.245;;
202302;176;21676.060;3851;25527.060;;
202302;177;30082.740;5658;35740.740;;
202302;178;40116.620;6621;46737.620;;
202302;179;28941.995;5327;34268.995;;
202302;180;24855.625;4792;29647.625;;
202302;181;37916.275;6189;44105.275;;
202302;182;28384.170;5900;34284.170;;
202302;183;27346.245;5530;32876.245;;
202302;184;33243.095;6716;39959.095;;
202302;185;35381.590;6975;42356.590;;
202302;186;30863.595;4440;35303.595;;
202302;187;33138.745;6267;39405.745;66043;84969
202302;188;29632.455;5526;35158.455;;
202302;189;30217.460;5551;35768.460;55014;61545
202302;190;28089.335;5441;33530.335;;
202302;191;39250.170;6356;45606.170;;
202302;192;34074.725;6347;40421.725;;
202302;193;35703.635;4595;40298.635;;
202302;194;32214.690;6323;38537.690;;
202302;195;39609.255;6601;46210.255;;
202302;196;32883.965;5966;38849.965;;
202302;197;29319.600;5890;35209.600;;
202302;198;32928.720;6027;38955.720;;
202302;199;40781.570;6880;47661.570;58060;63166
202302;200;25118.085;6279;31397.085;;
202302;201;39992.150;7632;47624.150;;
202302;202;30501.910;5830;36331.910;;
202302;203;33718.710;6009;39727.710;;
202302;204;36870.445;6092;42962.445;;
202302;205;40266.650;6462;46728.650;;
202302;206;27781.940;5188;32969.940;;
202302;207;32218.880;6659;38877.880;;
202302;208;31138.625;5680;36818.625;;
202302;209;27713.185;4361;32074.185;;
202302;210;35100.875;6590;41690.875;;
202302;211;23579.630;5354;28933.630;;
202302;212;35116.300;6299;41415.300;;
202302;213;26770.905;5159;31929.905;;
202302;214;28102.495;4081;32183.495;;
202302;215;31429.950;5851;37280.950;;
202302;216;31774.700;5076;36850.700;;
202302;217;38892.755;6557;45449.755;;
202302;218;41149.640;7860;49009.640;;
202302;219;24109.435;4810;28919.435;;
202302;220;22563.185;4897;27460.185;;
202302;221;41761.180;7270;49031.180;67952;73701
202302;222;31385.815;5249;36634.815;;
202302;223;30261.005;5934;36195.005;;
202302;224;30684.815;5879;36563.815;;
202302;225;37450.080;6691;44141.080;;
202302;226;40641.225;7668;48309.225;58460;65352
202302;227;37734.580;6211;43945.580;;
202302;228;35122.545;6867;41989.545;;
202302;229;25104.755;5071;30175.755;;
202302;230;23158.640;4186;27344.640;;
202302;231;36684.325;6287;42971.325;57839;63695
202302;232;29548.800;4460;34008.800;;
202302;233;41990.600;6709;48699.600;;
202302;234;29309.920;5296;34605.920;;
202302;235;36665.875;6347;43012.875;;
202302;236;35884.070;6237;42121.070;;
202302;237;26014.750;5534;31548.750;;
202302;238;30947.250;6007;36954.250;;
202302;239;33403.090;6467;39870.090;;
202302;240;33061.530;5623;38684.530;;
202302;241;35195.060;5888;41083.060;;
202302;242;36707.720;6419;43126.720;;
202302;243;31518.455;6219;37737.455;;
202302;244;33836.520;5199;39035.520;;
202302;245;36564.955;6085;42649.955;;
202302;246;35258.555;6511;41769.555;55392;67557
202302;247;34439.470;5805;40244.470;;
202302;248;29827.955;5126;34953.955;;
202302;249;25382.135;4802;30184.135;;
202302;250;30060.925;5353;35413.925;;
202303;1;28385.975;5321;33706.975;;
202303;2;31807.855;6252;38059.855;;
202303;3;31750.865;5091;36841.865;;
202303;4;29454.790;5232;34686.790;;
202303;5;34759.960;4903;39662.960;74855;90259
202303;6;30874.365;4836;35710.365;;
202303;7;29342.955;6001;35343.955;;
202303;8;34448.565;5554;40002.565;;
202303;9;36481.940;5188;41669.940;;
202303;10;35135.745;5686;40821.745;;
202303;11;32473.090;5555;38028.090;;
202303;12;29407.660;4587;33994.660;56959;61228
202303;13;37945.120;5714;43659.120;63168;75594
202303;14;33448.360;5936;39384.360;;
202303;15;29457.435;5346;34803.435;;
202303;16;25791.105;5464;31255.105;66033;69209
202303;17;32106.010;4785;36891.010;;
202303;18;28430.020;5521;33951.020;;
202303;19;30281.320;5735;36016.320;;
202303;20;34187.530;6594;40781.530;;
202303;21;36353.005;5573;41926.005;;
202303;22;42696.645;7074;49770.645;73502;79718
202303;23;26677.995;4944;31621.995;66271;72401
202303;24;37886.840;6064;43950.840;;
202303;25;24280.955;5055;29335.955;;
202303;26;26572.045;5041;31613.045;66591;68557
202303;27;29855.710;4957;34812.710;;
202303;28;27643.670;4708;32351.670;;
202303;29;44232.260;6216;50448.260;;
202303;30;28304.025;5025;33329.025;;
202303;31;25175.500;4893;30068.500;;
202303;32;31183.790;5309;36492.790;;
202303;33;29772.900;5848;35620.900;;
202303;34;35442.445;6815;42257.445;;
202303;35;36243.015;6452;42695.015;68839;85594
202303;36;31054.880;5121;36175.880;;
202303;37;36942.095;4641;41583.095;56262;64658
202303;38;34783.370;6533;41316.370;;
202303;39;33457.620;4797;38254.620;;
202303;40;28069.705;4776;32845.705;;
202303;41;37528.055;6676;44204.055;;
202303;42;24279.620;5121;29400.620;;
202303;43;28897.470;5231;34128.470;;
202303;44;34601.190;5945;40546.190;;
202303;45;31476.835;5087;36563.835;;
202303;46;39175.820;6297;45472.820;;
202303;47;20315.435;4283;24598.435;;
202303;48;31412.345;5658;37070.345;;
202303;49;30325.295;6243;36568.295;;
202303;50;33530.675;6224;39754.675;;
202303;51;35715.070;5661;41376.070;;
202303;52;35741.255;6836;42577.255;58357;62541
202303;53;37275.210;5565;42840.210;;
202303;54;34598.545;5183;39781.545;;
202303;55;36115.555;6030;42145.555;;
202303;56;22410.105;4791;27201.105;;
202303;57;34960.640;6371;41331.640;;
202303;58;31439.455;5516;36955.455;;
202303;59;38190.465;5944;44134.465;;
202303;60;22755.315;4605;27360.315;;
202303;61;34146.780;5992;40138.780;;
202303;62;30347.890;6102;36449.890;;
202303;63;36990.645;6459;43449.645;;
202303;64;30510.795;6069;36579.795;;
202303;65;22686.365;5220;27906.365;54928;57018
202303;66;27836.340;5029;32865.340;;
202303;67;31064.790;5711;36775.790;;
202303;68;23200.795;4964;28164.795;;
202303;69;34656.480;6748;41404.480;;
202303;70;35133.250;6032;41165.250;;
202303;71;33407.520;5110;38517.520;;
202303;72;32462.135;5887;38349.135;;
202303;73;24203.515;4581;28784.515;;
202303;74;27247.445;5574;32821.445;;
202303;75;40985.215;7224;48209.215;;
202303;76;33467.080;5426;38893.080;;
202303;77;31455.210;5342;36797.210;;
202303;78;32416.065;6725;39141.065;;
202303;79;31924.940;5954;37878.940;;
202303;80;41103.775;7254;48357.775;;
202303;81;32514.525;6448;38962.525;;
202303;82;38054.685;6130;44184.685;;
202303;83;40970.715;7036;48006.715;64579;80417
202303;84;30292.440;6213;36505.440;59609;62624
202303;85;31823.470;5391;37214.470;62860;79202
202303;86;31363.135;5473;36836.135;;
202303;87;38125.350;6830;44955.350;;
202303;88;28628.000;6931;35559.000;;
202303;89;27549.125;6151;33700.125;;
202303;90;33406.150;6542;39948.150;;
202303;91;31025.460;5845;36870.460;;
202303;92;42315.185;6322;48637.185;;
202303;93;40173.545;6547;46720.545;;
202303;94;35917.220;6927;42844.220;;
202303;95;30661.180;5570;36231.180;;
202303;96;37071.035;5784;42855.035;75298;82993
202303;97;33224.720;6603;39827.720;;
202303;98;31764.290;5714;37478.290;;
202303;99;33196.405;5419;38615.405;;
202303;100;26818.845;4833;31651.845;;
202303;101;26121.815;4452;30573.815;;
202303;102;33185.640;6066;39251.640;;
202303;103;30364.025;5554;35918.025;;
202303;104;29393.230;5609;35002.230;;
202303;105;33588.090;5892;39480.090;;
202303;106;36606.370;6714;43320.370;;
202303;107;36357.460;7146;43503.460;;
202303;108;41517.145;7769;49286.145;;
202303;109;30453.465;6583;37036.465;;
202303;110;25148.555;5522;30670.555;;
202303;111;39493.695;7638;47131.695;53106;63125
202303;112;30538.590;5651;36189.590;;
202303;113;28329.275;5718;34047.275;;
202303;114;29288.295;5680;34968.295;;
202303;115;31317.210;5256;36573.210;;
202303;116;35894.170;5362;41256.170;;
202303;117;30744.845;5153;35897.845;;
202303;118;21257.350;4320;25577.350;;
202303;119;26674.395;4782;31456.395;;
202303;120;30249.855;5979;36228.855;;
202303;121;40651.955;6934;47585.955;52133;66117
202303;122;34660.870;5630;40290.870;;
202303;123;27975.210;5699;33674.210;61468;72187
202303;124;37334.565;7312;44646.565;;
202303;125;24102.610;5340;29442.610;;
202303;126;27830.455;4822;32652.455;;
202303;127;42212.090;7657;49869.090;;
202303;128;27855.565;5557;33412.565;;
202303;129;27850.355;5972;33822.355;;
202303;130;39046.225;7339;46385.225;;
202303;131;29063.800;6194;35257.800;;
202303;132;36544.980;6659;43203.980;65908;82367
202303;133;25525.295;5347;30872.295;;
202303;134;24358.700;4722;29080.700;;
202303;135;39456.345;5855;45311.345;;
202303;136;33041.000;6780;39821.000;;
202303;137;35434.675;6247;41681.675;;
202303;138;35823.490;5752;41575.490;;
202303;139;30161.775;6096;36257.775;;
202303;140;33346.535;5298;38644.535;;
202303;141;29592.725;5539;35131.725;67175;70635
202303;142;29742.575;5004;34746.575;;
202303;143;29959.170;5534;35493.170;;
202303;144;32542.610;5773;38315.610;;
202303;145;29261.045;5642;34903.045;;
202303;146;25367.015;6151;31518.015;61369;62585
202303;147;32486.380;4681;37167.380;;
202303;148;28460.795;5218;33678.795;;
202303;149;39320.070;6822;46142.070;;
202303;150;27605.475;4895;32500.475;;
202303;151;32344.385;4851;37195.385;62207;83786
202303;152;42554.100;7132;49686.100;;
202303;153;39237.945;6603;45840.945;;
202303;154;32518.990;6521;39039.990;;
202303;155;34155.265;5435;39590.265;57098;75463
202303;156;36952.615;5609;42561.615;;
202303;157;28090.940;3687;31777.940;;
202303;158;31873.165;5476;37349.165;;
202303;159;32861.870;5506;38367.870;;
202303;160;31036.970;5193;36229.970;;
202303;161;34133.785;5518;39651.785;56346;67810
202303;162;28115.655;4667;32782.655;;
202303;163;41343.115;6875;48218.115;;
202303;164;37967.490;6621;44588.490;67692;77891
202303;165;29156.790;5926;35082.790;;
202303;166;36330.470;5743;42073.470;;
202303;167;32302.950;6364;38666.950;;
202303;168;24869.740;4314;29183.740;;
202303;169;28775.675;5313;34088.675;;
202303;170;24967.630;5263;30230.630;;
202303;171;28136.125;5159;33295.125;;
202303;172;42019.645;7243;49262.645;67494;87428
202303;173;25357.190;4902;30259.190;;
202303;174;29154.020;5398;34552.020;;
202303;175;37147.405;5184;42331.405;;
202303;176;25740.925;5847;31587.925;;
202303;177;30333.365;5158;35491.365;;
202303;178;29198.895;4855;34053.895;;
202303;179;30196.315;5317;35513.315;;
202303;180;33935.930;6538;40473.930;;
202303;181;33175.075;5123;38298.075;;
