surrogate_key_captura_apontamento_horas,data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
274,27/01/2023,470,F2,237,36,5,HE,7.61,4,24.17
275,09/01/2023,148,M1,8,98,2,HN,6.79,3,42.14
276,30/01/2023,569,F3,54,74,6,HE,4.03,2,105.57
277,17/01/2023,132,F2,110,79,6,HE,7.8,3,91.11
278,29/01/2023,441,F3,231,70,4,HN,2.45,1,4.18
279,12/01/2023,258,F2,173,77,1,HN,1.59,4,38.63
280,04/01/2023,485,F2,123,50,5,HN,1.43,4,34.23
281,20/01/2023,440,M1,78,60,1,HN,6.07,2,133.66
282,14/01/2023,900,M1,48,57,6,HN,7.09,5,132.38
283,14/01/2023,763,F2,107,63,7,HE,1.97,5,112.28
284,24/01/2023,505,F3,218,39,5,HN,4.08,2,28.39
285,30/01/2023,182,M1,237,39,3,HE,5.86,3,24.95
286,27/01/2023,348,F2,186,16,4,HN,3.62,3,72.27
287,16/01/2023,439,F2,151,21,6,HN,1.25,2,56.59
288,04/01/2023,23,M1,110,92,2,HN,3.11,2,141.5
289,26/01/2023,248,F3,175,3,2,HN,4.24,5,25.03
290,07/01/2023,316,F2,151,1,6,HE,7.32,3,38.65
291,19/01/2023,91,M1,109,27,3,HE,3.07,5,41.62
292,04/01/2023,443,F2,67,28,4,HE,3.6,1,53.47
293,27/01/2023,763,F2,108,79,7,HE,6.73,2,2.52
294,17/01/2023,304,M1,200,65,1,HN,3.58,2,61.76
295,25/01/2023,804,M1,122,35,2,HE,7.1,3,81.1
296,06/01/2023,397,M1,150,39,7,HE,7.08,1,33.26
297,10/01/2023,20,F3,192,13,6,HN,6.2,2,60.65
298,29/01/2023,629,F3,211,72,7,HE,4.82,4,32.23
299,16/01/2023,592,M1,163,11,5,HN,5.53,2,139.75
300,04/01/2023,486,F3,157,68,3,HN,5.25,4,65.15
301,16/01/2023,725,F3,243,69,3,HN,4.78,3,5.4
302,16/01/2023,180,F3,74,21,2,HE,6.96,5,26.76
303,11/01/2023,191,M1,226,42,3,HE,6.02,3,54.99
304,02/01/2023,670,M1,227,2,5,HE,1.98,3,97.27
305,03/01/2023,392,M1,220,89,3,HN,7.25,5,105.77
306,03/01/2023,715,F3,86,79,7,HN,5.34,4,112.76
307,23/01/2023,113,F3,135,26,3,HN,1.91,4,127.41
308,25/01/2023,778,F2,221,55,5,HN,1.6,4,99.71
309,26/01/2023,687,F2,33,62,3,HE,6.72,2,61.93
310,16/01/2023,933,M1,207,82,4,HN,4.18,5,44.97
311,28/01/2023,510,F3,199,75,3,HN,2.15,3,8.4
312,18/01/2023,363,F2,46,84,4,HN,4.17,5,83.73
313,26/01/2023,103,F2,235,74,7,HN,2.04,2,28.05
314,05/01/2023,58,M1,27,11,4,HN,6.1,4,20.32
315,06/01/2023,866,F2,92,86,1,HN,2.94,4,16.73
316,05/01/2023,553,F3,57,41,1,HN,2.24,1,103.63
317,06/01/2023,178,F2,41,78,5,HN,4.13,5,47.79
318,08/01/2023,262,F3,49,15,1,HN,1.34,3,89.57
319,09/01/2023,326,F2,88,62,1,HN,7.56,2,96.64
320,24/01/2023,100,F3,231,88,5,HE,2.52,5,124.3
321,05/01/2023,444,F3,24,22,1,HN,5.47,1,37.11
322,27/01/2023,376,F2,157,82,2,HN,6.04,1,40.55
323,25/01/2023,791,M1,48,49,7,HE,4.16,3,69.19
324,22/01/2023,662,F3,181,58,6,HN,6.28,5,108.32
325,01/01/2023,97,F2,65,47,7,HN,2.93,1,28.72
326,14/01/2023,781,M1,198,93,7,HN,2.55,4,141.39
327,26/01/2023,936,M1,3,15,6,HE,2.32,2,74.22
328,28/01/2023,420,F3,67,54,5,HE,2.52,5,59.96
329,11/01/2023,699,F2,231,76,7,HN,1.65,5,104.14
330,20/01/2023,135,F3,31,78,6,HN,2.52,2,14.6
331,18/01/2023,200,F3,146,13,2,HE,5.81,4,40.53
332,12/01/2023,572,M1,146,97,2,HE,6.5,1,52.35
333,09/01/2023,860,F2,127,21,5,HN,6.73,1,8.29
334,14/01/2023,540,M1,174,90,2,HN,7.1,3,4.51
335,08/01/2023,25,F3,202,15,1,HN,5.31,5,19.0
336,08/01/2023,704,M1,88,24,5,HE,7.16,5,50.43
337,06/01/2023,605,F3,73,85,6,HE,6.68,2,131.05
338,29/01/2023,38,M1,57,15,2,HE,1.93,2,127.06
339,23/01/2023,534,M1,189,55,5,HN,1.99,2,11.83
340,11/01/2023,258,M1,129,5,5,HN,1.14,5,140.0
341,11/01/2023,408,F2,25,1,5,HE,6.76,2,99.66
342,17/01/2023,594,M1,250,55,7,HE,4.91,1,2.26
343,13/01/2023,942,F3,87,67,6,HE,7.89,2,41.93
344,16/01/2023,297,F2,181,17,7,HE,1.31,2,18.17
345,02/01/2023,739,F3,210,22,5,HE,7.51,1,130.27
346,26/01/2023,892,F3,115,67,3,HN,3.89,4,96.5
347,05/01/2023,189,F3,215,8,1,HE,1.73,2,130.44
348,03/01/2023,901,F2,230,87,1,HE,3.37,5,16.39
349,08/01/2023,288,F3,208,63,2,HN,1.71,5,115.34
350,11/01/2023,608,F2,177,64,2,HN,6.64,2,109.46
351,13/01/2023,677,F2,221,56,6,HE,2.03,4,57.42
352,29/01/2023,404,F2,102,60,4,HE,6.14,1,65.74
353,23/01/2023,826,F2,133,87,7,HE,2.36,5,28.17
354,14/01/2023,415,F2,106,65,5,HN,5.29,5,94.79
355,11/01/2023,557,F3,68,67,1,HN,3.5,5,71.07
356,18/01/2023,457,F3,66,28,5,HE,4.85,2,2.49
357,09/01/2023,189,F3,196,3,1,HE,3.43,5,111.12
358,10/01/2023,393,M1,204,83,3,HE,7.01,3,145.28
359,14/01/2023,267,F2,207,9,3,HN,1.96,5,19.75
360,23/01/2023,625,F3,214,21,5,HE,5.21,3,128.94
361,02/01/2023,46,M1,130,67,7,HE,1.67,1,49.8
362,03/01/2023,819,F3,20,73,5,HN,2.1,1,140.46
363,06/01/2023,848,F3,110,70,1,HN,1.06,5,59.57
364,17/01/2023,921,F3,3,84,7,HE,5.34,1,149.46
365,12/01/2023,669,M1,244,27,6,HN,2.89,4,119.34
366,01/01/2023,649,M1,197,15,6,HE,2.2,1,29.85
367,19/01/2023,204,F3,98,60,2,HE,2.3,2,70.71
368,25/01/2023,691,M1,127,28,2,HE,4.28,5,7.27
369,28/01/2023,399,M1,238,85,2,HE,3.16,1,29.58
370,16/01/2023,34,M1,245,1,4,HE,7.36,1,45.46
371,12/01/2023,452,F3,198,16,4,HE,6.28,2,26.56
372,19/01/2023,732,F3,33,84,4,HE,2.1,4,114.61
373,14/01/2023,587,F2,106,78,5,HE,6.24,5,89.71
374,28/01/2023,157,F2,240,98,1,HN,7.51,1,21.32
375,05/01/2023,698,F2,64,54,5,HN,5.38,4,130.05
376,09/01/2023,578,M1,168,2,2,HN,5.26,1,22.12
377,29/01/2023,544,F2,233,39,6,HE,3.06,2,107.55
378,26/01/2023,622,F2,31,9,2,HE,7.44,2,132.42
379,17/01/2023,317,F3,91,14,3,HN,4.63,4,4.48
380,16/01/2023,883,F3,233,82,5,HN,4.57,5,122.14
381,05/01/2023,497,F3,8,50,5,HE,6.89,5,30.34
382,15/01/2023,925,M1,239,58,1,HE,7.93,5,48.18
383,04/01/2023,630,M1,162,86,4,HE,2.4,1,133.2
384,18/01/2023,243,F2,207,47,3,HE,5.13,4,9.79
385,17/01/2023,901,F2,64,96,4,HE,6.69,5,9.09
386,22/01/2023,305,F3,239,15,1,HE,7.61,1,81.88
387,18/01/2023,16,F3,38,47,5,HE,5.58,2,50.92
388,24/01/2023,643,M1,104,64,7,HE,5.41,2,52.88
389,09/01/2023,929,M1,236,71,3,HE,1.89,2,23.28
390,12/01/2023,903,F3,183,21,3,HN,6.99,4,44.44
391,11/01/2023,893,F3,56,34,5,HN,4.22,5,89.73
392,03/01/2023,116,M1,133,20,5,HE,3.36,1,35.49
393,12/01/2023,909,F2,22,59,1,HN,4.35,1,11.31
394,12/01/2023,307,M1,196,35,4,HN,7.11,1,136.18
395,07/01/2023,179,M1,167,61,4,HE,6.37,4,84.39
396,13/01/2023,839,F2,135,28,3,HE,2.0,1,114.16
397,18/01/2023,212,M1,164,66,2,HN,3.08,4,66.96
398,08/01/2023,694,M1,204,62,7,HN,5.23,5,61.25
399,05/01/2023,485,M1,208,75,7,HE,4.98,2,52.59
400,20/01/2023,210,F2,47,72,7,HN,3.83,3,62.66
401,29/01/2023,250,F3,53,89,1,HN,5.51,5,121.67
402,30/01/2023,222,M1,147,82,5,HE,6.29,3,125.93
403,21/01/2023,515,M1,220,63,4,HE,4.42,4,60.36
404,06/01/2023,598,F2,239,35,5,HN,6.61,5,95.28
405,04/01/2023,456,F3,73,69,7,HN,2.97,1,120.56
406,19/01/2023,6,F2,23,80,2,HN,2.8,1,137.47
407,16/01/2023,52,F2,2,48,1,HE,2.32,2,94.38
408,28/01/2023,855,M1,92,54,3,HE,3.39,2,131.48
409,02/01/2023,536,F2,222,4,1,HE,5.89,5,116.75
410,03/01/2023,459,F2,29,17,6,HN,3.29,5,69.76
411,24/01/2023,285,F2,152,21,1,HE,6.87,5,145.6
412,20/01/2023,672,M1,45,23,6,HE,4.19,1,125.28
413,26/01/2023,770,F2,72,34,4,HE,6.88,4,48.36
414,13/01/2023,522,M1,92,71,7,HN,1.5,3,114.43
415,15/01/2023,54,M1,182,82,2,HE,5.72,4,94.07
